iter	Logloss
0	0.4800356131
1	0.3617188109
2	0.2892135291
3	0.2434164978
4	0.2120690684
5	0.1925248204
6	0.176267908
7	0.166501352
8	0.1593166819
9	0.1537714223
10	0.1515547225
11	0.1493629266
12	0.1430357051
13	0.1398273901
14	0.1378705935
15	0.1362783256
16	0.1355394555
17	0.1350746706
18	0.1345633747
19	0.1341073462
20	0.1309544612
21	0.1301320593
22	0.1298385809
23	0.1295458836
24	0.1281315714
25	0.1271603762
26	0.1266658717
27	0.1265366874
28	0.1263609047
29	0.1252795063
30	0.1242928442
31	0.1239196523
32	0.123710279
33	0.1235071415
34	0.1229464158
35	0.122814846
36	0.1226488831
37	0.1224075423
38	0.1222655016
39	0.1221799111
40	0.1221549873
41	0.1221516232
42	0.1220728488
43	0.1217559732
44	0.120989133
45	0.1209780361
46	0.1209148431
47	0.1208180533
48	0.1207786103
49	0.1206917431
50	0.1206536778
51	0.1206214085
52	0.1206014414
53	0.120588327
54	0.1205790482
55	0.1204896613
56	0.1204125519
57	0.1195123501
58	0.119421373
59	0.1194089145
60	0.1193569543
61	0.1188426239
62	0.1187853128
63	0.1187528569
64	0.1182705377
65	0.1182610378
66	0.118137462
67	0.117776987
68	0.117718387
69	0.1175926793
70	0.1170663231
71	0.1168647974
72	0.1167896686
73	0.1167405697
74	0.1166700726
75	0.1166186645
76	0.1165776271
77	0.1165471961
78	0.116537461
79	0.1164772199
80	0.1162467685
81	0.1162017457
82	0.1161980567
83	0.1160515726
84	0.1160451324
85	0.1160082738
86	0.1159156844
87	0.11588925
88	0.1158124626
89	0.1158067968
90	0.1157692651
91	0.115664285
92	0.1156634741
93	0.1156491755
94	0.1156280903
95	0.1155975667
96	0.1154806934
97	0.1154086344
98	0.115368777
99	0.1152922899
