iter	Passed	Remaining
0	6	683
1	10	491
2	12	412
3	16	384
4	19	377
5	22	358
6	25	344
7	28	330
8	31	322
9	34	312
10	36	294
11	38	282
12	40	271
13	43	266
14	46	262
15	49	262
16	52	256
17	54	250
18	58	248
19	61	244
20	63	239
21	66	236
22	69	232
23	72	228
24	74	224
25	77	221
26	80	218
27	83	215
28	86	212
29	89	208
30	92	206
31	95	202
32	98	199
33	101	196
34	104	193
35	106	189
36	109	186
37	112	183
38	115	180
39	118	177
40	120	174
41	123	170
42	125	166
43	128	163
44	131	160
45	134	157
46	136	154
47	139	150
48	142	148
49	145	145
50	147	141
51	150	138
52	152	135
53	155	132
54	158	129
55	161	126
56	163	123
57	166	120
58	169	117
59	172	114
60	175	112
61	178	109
62	181	106
63	183	103
64	186	100
65	189	97
66	192	94
67	195	91
68	197	88
69	200	86
70	203	83
71	206	80
72	209	77
73	211	74
74	215	71
75	217	68
76	220	65
77	222	62
78	225	59
79	228	57
80	231	54
81	233	51
82	236	48
83	239	45
84	242	42
85	244	39
86	247	36
87	249	34
88	252	31
89	255	28
90	257	25
91	261	22
92	263	19
93	266	16
94	269	14
95	271	11
96	274	8
97	277	5
98	280	2
99	282	0
